name,ratings,price,camera,display,battery,storage,ram,processor,android_version
"SAMSUNG Galaxy Z Flip4 5G (Pink Gold, 256 GB)",3.7,29463,12,HD+ AMOLED,3700,256,8,Snapdragon1P,12
"SAMSUNG Galaxy A34 5G (Awesome Silver, 128 GB)",4.3,28700,48,other_types,5000,128,6,"Dimensity1080,",13
"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)",4.3,11990,48,other_types,6000,128,4,not mentioned,11
"SAMSUNG Galaxy A34 5G (Awesome Violet, 128 GB)",4.3,28999,48,other_types,5000,128,6,"Dimensity1080,",13
"SAMSUNG M32 5G (Slate Black, 128 GB)",4.1,16999,48,other_types,5000,128,6,Dimensity720,11
"SAMSUNG Galaxy M31s (Mirage Black, 128 GB)",4.2,22898,64,other_types,6000,128,6,not mentioned,10
"SAMSUNG Galaxy A34 5G (Awesome Graphite, 128 GB)",4.3,28999,48,other_types,5000,128,6,"Dimensity1080,",13
"SAMSUNG Galaxy A04 (Black, 64 GB)",4.0,11199,50,LCD,5000,64,4,not mentioned,12
"SAMSUNG Galaxy A04 (Copper, 128 GB)",4.0,12799,50,LCD,5000,128,4,not mentioned,12
"SAMSUNG Galaxy A22 (Black, 128 GB)",4.2,20499,48,AMOLED,5000,128,6,Heilo806769,11
"SAMSUNG Galaxy M12 (Blue, 128 GB)",4.2,15499,48,other_types,6000,128,6,not mentioned,11
"SAMSUNG Galaxy Z Flip4 5G (Graphite, 128 GB)",3.7,24463,12,HD+ AMOLED,3700,128,8,Snapdragon1P,12
"SAMSUNG Galaxy A33 (Awesome Black, 128 GB)",4.1,27699,48,other_types,5000,128,6,not mentioned,12
"SAMSUNG Galaxy A23 (Black, 128 GB)",4.3,18790,50,other_types,5000,128,8,not mentioned,12
"SAMSUNG A04 E (Copper, 128 GB)",4.1,11499,13,other_types,5000,128,4,not mentioned,4
"SAMSUNG Galaxy A04e (Light Blue, 128 GB)",4.1,11499,13,LCD,5000,128,4,not mentioned,12
"SAMSUNG Galaxy A52 (Awesome Black, 128 GB)",4.3,24999,64,HD+ AMOLED,4500,128,6,Snapdragon720GProcessor,11
"SAMSUNG Galaxy A13 (Black, 64 GB)",4.1,18490,50,other_types,5000,64,4,not mentioned,12
"SAMSUNG Galaxy J6 (Blue, 64 GB)",4.5,9999,13,other_types,3000,64,4,not mentioned,8
"SAMSUNG Galaxy A13 (Blue, 128 GB)",4.2,16499,50,other_types,5000,128,6,not mentioned,12
"SAMSUNG Galaxy F12 (Sea Green, 128 GB)",4.3,12990,48,other_types,6000,128,4,not mentioned,11
"SAMSUNG M53 5G (Mystique Green, 128 GB)",4.1,26999,108,other_types,5000,128,6,not mentioned,12
"SAMSUNG Galaxy A70s (Prism Crush White, 128 GB)",4.3,30500,64,other_types,4500,128,8,not mentioned,9
"SAMSUNG Galaxy On Nxt (Black, 64 GB)",4.3,17900,13,other_types,3300,64,3,not mentioned,6
"SAMSUNG Galaxy Z Flip4 5G (Bora Purple, 128 GB)",3.7,24463,12,HD+ AMOLED,3700,128,8,Snapdragon1P,12
"SAMSUNG Galaxy A14 (Black, 128 GB)",3.9,15499,50,LCD,5000,128,4,not mentioned,13
"SAMSUNG Galaxy A14 (Light Green, 128 GB)",3.9,15499,50,LCD,5000,128,4,not mentioned,13
"SAMSUNG Galaxy A13 (Green, 64 GB)",4.1,15999,50,other_types,5000,64,4,not mentioned,12
"SAMSUNG Galaxy J6 (Black, 64 GB)",4.5,9999,13,other_types,3000,64,4,not mentioned,8
"SAMSUNG Galaxy On Nxt (Gold, 64 GB)",4.3,17900,13,other_types,3300,64,3,not mentioned,6
"SAMSUNG Galaxy On Max (Gold, 32 GB)",4.3,19900,13,other_types,3300,32,4,MediaTek,7
